state_canonical,state_code,snapshot_date,offices
Telangana,TG,2024-03-31,6323
Telangana,TG,2025-03-31,6576
Telangana,TG,2025-12-31,6714
Tripura,TR,2020-03-31,587
Tripura,TR,2021-03-31,598
Tripura,TR,2024-03-31,653
Tripura,TR,2025-03-31,664
Tripura,TR,2025-12-31,671
Uttar Pradesh,UP,2020-03-31,18434
Uttar Pradesh,UP,2021-03-31,18629
Uttar Pradesh,UP,2024-03-31,19507
Uttar Pradesh,UP,2025-03-31,20061
Uttar Pradesh,UP,2025-12-31,20365
Uttarakhand,UK,2020-03-31,2240
Uttarakhand,UK,2021-03-31,2285
Uttarakhand,UK,2024-03-31,2362
Uttarakhand,UK,2025-03-31,2441
Uttarakhand,UK,2025-12-31,2480
West Bengal,WB,2020-03-31,9442
West Bengal,WB,2021-03-31,9603
West Bengal,WB,2024-03-31,10237
West Bengal,WB,2025-03-31,10446
West Bengal,WB,2025-12-31,10579
