state_canonical,state_code,year,population
Delhi,DL,2033,25504000
Goa,GA,2033,1647000
Gujarat,GJ,2033,79511000
Haryana,HR,2033,33657000
Himachal Pradesh,HP,2033,7746000
Jammu and Kashmir,JK,2033,14541000
Jharkhand,JH,2033,44117000
Karnataka,KA,2033,71257000
Kerala,KL,2033,36813000
Ladakh,LA,2033,314000
Lakshadweep,LD,2033,71000
Madhya Pradesh,MP,2033,95806000
Maharashtra,MH,2033,134997000
Manipur,MN,2033,3491000
Meghalaya,ML,2033,3626000
Mizoram,MZ,2033,1341000
Nagaland,NL,2033,2418000
Odisha,OR,2033,45016000
Puducherry,PY,2033,2065000
Punjab,PB,2033,32353000
Rajasthan,RJ,2033,88768000
Sikkim,SK,2033,746000
Tamil Nadu,TN,2033,78075000
Telangana,TG,2033,39324000
Tripura,TR,2033,4491000
Uttar Pradesh,UP,2033,255242000
Uttarakhand,UK,2033,12734000
West Bengal,WB,2033,102524000
Andaman and Nicobar Islands,AN,2034,412000
Andhra Pradesh,AP,2034,54226000
Arunachal Pradesh,AR,2034,1701000
Assam,AS,2034,38998000
Bihar,BR,2034,146064000
Chandigarh,CH,2034,1346000
Chhattisgarh,CG,2034,33627000
Dadra and Nagar Haveli and Daman and Diu,DN,2034,3219000
Delhi,DL,2034,25911000
Goa,GA,2034,1653000
Gujarat,GJ,2034,80188000
Haryana,HR,2034,33961000
Himachal Pradesh,HP,2034,7761000
Jammu and Kashmir,JK,2034,14618000
Jharkhand,JH,2034,44506000
Karnataka,KA,2034,71516000
Kerala,KL,2034,36864000
Ladakh,LA,2034,314000
Lakshadweep,LD,2034,71000
Madhya Pradesh,MP,2034,96555000
Maharashtra,MH,2034,135659000
Manipur,MN,2034,3512000
Meghalaya,ML,2034,3648000
Mizoram,MZ,2034,1349000
Nagaland,NL,2034,2433000
Odisha,OR,2034,45020000
Puducherry,PY,2034,2109000
Punjab,PB,2034,32468000
Rajasthan,RJ,2034,89441000
Sikkim,SK,2034,751000
Tamil Nadu,TN,2034,78072000
Telangana,TG,2034,39376000
Tripura,TR,2034,4518000
Uttar Pradesh,UP,2034,256648000
Uttarakhand,UK,2034,12824000
West Bengal,WB,2034,102676000
Andaman and Nicobar Islands,AN,2035,413000
Andhra Pradesh,AP,2035,54242000
Arunachal Pradesh,AR,2035,1712000
Assam,AS,2035,39239000
Bihar,BR,2035,147571000
Chandigarh,CH,2035,1354000
Chhattisgarh,CG,2035,33899000
Dadra and Nagar Haveli and Daman and Diu,DN,2035,3491000
Delhi,DL,2035,26319000
Goa,GA,2035,1659000
Gujarat,GJ,2035,80865000
Haryana,HR,2035,34266000
Himachal Pradesh,HP,2035,7775000
Jammu and Kashmir,JK,2035,14696000
Jharkhand,JH,2035,44895000
Karnataka,KA,2035,71775000
Kerala,KL,2035,36915000
Ladakh,LA,2035,315000
Lakshadweep,LD,2035,71000
Madhya Pradesh,MP,2035,97305000
Maharashtra,MH,2035,136322000
Manipur,MN,2035,3532000
Meghalaya,ML,2035,3670000
Mizoram,MZ,2035,1357000
Nagaland,NL,2035,2447000
Odisha,OR,2035,45023000
Puducherry,PY,2035,2154000
Punjab,PB,2035,32582000
Rajasthan,RJ,2035,90114000
Sikkim,SK,2035,755000
Tamil Nadu,TN,2035,78069000
Telangana,TG,2035,39428000
Tripura,TR,2035,4544000
Uttar Pradesh,UP,2035,258053000
Uttarakhand,UK,2035,12914000
West Bengal,WB,2035,102829000
Andaman and Nicobar Islands,AN,2036,413000
Andhra Pradesh,AP,2036,54257000
Arunachal Pradesh,AR,2036,1722000
Assam,AS,2036,39479000
Bihar,BR,2036,149078000
Chandigarh,CH,2036,1362000
Chhattisgarh,CG,2036,34172000
Dadra and Nagar Haveli and Daman and Diu,DN,2036,3762000
Delhi,DL,2036,26727000
Goa,GA,2036,1665000
Gujarat,GJ,2036,81542000
Haryana,HR,2036,34570000
Himachal Pradesh,HP,2036,7790000
Jammu and Kashmir,JK,2036,14773000
Jharkhand,JH,2036,45285000
Karnataka,KA,2036,72034000
Kerala,KL,2036,36965000
Ladakh,LA,2036,316000
Lakshadweep,LD,2036,72000
Madhya Pradesh,MP,2036,98054000
Maharashtra,MH,2036,136985000
Manipur,MN,2036,3553000
Meghalaya,ML,2036,3692000
Mizoram,MZ,2036,1365000
Nagaland,NL,2036,2462000
Odisha,OR,2036,45026000
Puducherry,PY,2036,2198000
Punjab,PB,2036,32696000
Rajasthan,RJ,2036,90787000
Sikkim,SK,2036,760000
Tamil Nadu,TN,2036,78066000
Telangana,TG,2036,39480000
Tripura,TR,2036,4571000
Uttar Pradesh,UP,2036,259459000
Uttarakhand,UK,2036,13004000
West Bengal,WB,2036,102982000
