state_canonical,state_code,fy,per_capita_nsdp_constant_inr
Mizoram,MZ,2015-16,91845
Nagaland,NL,2015-16,60663
Odisha,OR,2015-16,57806
Puducherry,PY,2015-16,121000
Punjab,PB,2015-16,100141
Rajasthan,RJ,2015-16,68565
Sikkim,SK,2015-16,195066
Tamil Nadu,TN,2015-16,115875
Telangana,TG,2015-16,112267
Tripura,TR,2015-16,61612
Uttar Pradesh,UP,2015-16,38184
Uttarakhand,UK,2015-16,127249
West Bengal,WB,2015-16,57255
Andaman and Nicobar Islands,AN,2016-17,129532
Andhra Pradesh,AP,2016-17,94115
Arunachal Pradesh,AR,2016-17,91311
Assam,AS,2016-17,53575
Bihar,BR,2016-17,25455
Chandigarh,CH,2016-17,208231
Chhattisgarh,CG,2016-17,67139
Delhi,DL,2016-17,244255
Goa,GA,2016-17,305875
Gujarat,GJ,2016-17,129738
Haryana,HR,2016-17,150259
Himachal Pradesh,HP,2016-17,122208
Jammu and Kashmir,JK,2016-17,62398
Jharkhand,JH,2016-17,48826
Karnataka,KA,2016-17,131186
Kerala,KL,2016-17,129251
Madhya Pradesh,MP,2016-17,52782
Maharashtra,MH,2016-17,133686
Manipur,MN,2016-17,47151
Meghalaya,ML,2016-17,60752
Mizoram,MZ,2016-17,99089
Nagaland,NL,2016-17,64259
Odisha,OR,2016-17,66416
Puducherry,PY,2016-17,126532
Punjab,PB,2016-17,105848
Rajasthan,RJ,2016-17,71324
Sikkim,SK,2016-17,207355
Tamil Nadu,TN,2016-17,123206
Telangana,TG,2016-17,121512
Tripura,TR,2016-17,69860
Uttar Pradesh,UP,2016-17,42180
Uttarakhand,UK,2016-17,138784
West Bengal,WB,2016-17,60618
Andaman and Nicobar Islands,AN,2017-18,145562
Andhra Pradesh,AP,2017-18,103177
Arunachal Pradesh,AR,2017-18,94000
Assam,AS,2017-18,57835
Bihar,BR,2017-18,26719
Chandigarh,CH,2017-18,218201
Chhattisgarh,CG,2017-18,68374
Delhi,DL,2017-18,252960
Goa,GA,2017-18,308296
Gujarat,GJ,2017-18,143604
Haryana,HR,2017-18,156200
Himachal Pradesh,HP,2017-18,129303
Jammu and Kashmir,JK,2017-18,65621
Jharkhand,JH,2017-18,52277
Karnataka,KA,2017-18,140747
Kerala,KL,2017-18,137181
Madhya Pradesh,MP,2017-18,54824
Maharashtra,MH,2017-18,137808
Manipur,MN,2017-18,51211
Meghalaya,ML,2017-18,62231
Mizoram,MZ,2017-18,117272
Nagaland,NL,2017-18,66813
Odisha,OR,2017-18,71032
Puducherry,PY,2017-18,134934
Punjab,PB,2017-18,110857
Rajasthan,RJ,2017-18,73529
Sikkim,SK,2017-18,232483
Tamil Nadu,TN,2017-18,133029
Telangana,TG,2017-18,131503
Tripura,TR,2017-18,75020
Uttar Pradesh,UP,2017-18,42876
Uttarakhand,UK,2017-18,148011
West Bengal,WB,2017-18,64007
Andaman and Nicobar Islands,AN,2018-19,154233
Andhra Pradesh,AP,2018-19,108853
Arunachal Pradesh,AR,2018-19,99570
Assam,AS,2018-19,59943
Bihar,BR,2018-19,29092
Chandigarh,CH,2018-19,227231
Chhattisgarh,CG,2018-19,75438
Delhi,DL,2018-19,257597
Goa,GA,2018-19,308753
Gujarat,GJ,2018-19,154887
Haryana,HR,2018-19,169604
Himachal Pradesh,HP,2018-19,136292
Jammu and Kashmir,JK,2018-19,69183
Jharkhand,JH,2018-19,56133
Karnataka,KA,2018-19,149024
Kerala,KL,2018-19,147347
Madhya Pradesh,MP,2018-19,59005
Maharashtra,MH,2018-19,140782
Manipur,MN,2018-19,48106
Meghalaya,ML,2018-19,64716
Mizoram,MZ,2018-19,119022
Nagaland,NL,2018-19,70218
Odisha,OR,2018-19,75421
Puducherry,PY,2018-19,155466
Punjab,PB,2018-19,115592
Rajasthan,RJ,2018-19,73975
Sikkim,SK,2018-19,240743
Tamil Nadu,TN,2018-19,141844
Telangana,TG,2018-19,146777
Tripura,TR,2018-19,82313
Uttar Pradesh,UP,2018-19,43454
Uttarakhand,UK,2018-19,150179
West Bengal,WB,2018-19,68195
Andaman and Nicobar Islands,AN,2019-20,161564
Andhra Pradesh,AP,2019-20,110587
Arunachal Pradesh,AR,2019-20,113081
Assam,AS,2019-20,61519
Bihar,BR,2019-20,29798
Chandigarh,CH,2019-20,239373
Chhattisgarh,CG,2019-20,76827
Delhi,DL,2019-20,260559
Goa,GA,2019-20,313973
Gujarat,GJ,2019-20,164060
Haryana,HR,2019-20,170765
Himachal Pradesh,HP,2019-20,140999
Jammu and Kashmir,JK,2019-20,68437
Jharkhand,JH,2019-20,55658
Karnataka,KA,2019-20,156478
Kerala,KL,2019-20,147951
Madhya Pradesh,MP,2019-20,60452
Maharashtra,MH,2019-20,145626
Manipur,MN,2019-20,49267
Meghalaya,ML,2019-20,67229
Mizoram,MZ,2019-20,130741
Nagaland,NL,2019-20,73361
Odisha,OR,2019-20,76439
Puducherry,PY,2019-20,153411
Punjab,PB,2019-20,118487
Rajasthan,RJ,2019-20,76840
Sikkim,SK,2019-20,248691
Tamil Nadu,TN,2019-20,144845
Telangana,TG,2019-20,153286
Tripura,TR,2019-20,83985
Uttar Pradesh,UP,2019-20,44265
Uttarakhand,UK,2019-20,150820
West Bengal,WB,2019-20,69548
Andaman and Nicobar Islands,AN,2020-21,146995
Andhra Pradesh,AP,2020-21,110971
Arunachal Pradesh,AR,2020-21,105892
Assam,AS,2020-21,62944
Bihar,BR,2020-21,26839
Chandigarh,CH,2020-21,209158
Chhattisgarh,CG,2020-21,74489
Delhi,DL,2020-21,228162
Goa,GA,2020-21,295023
Gujarat,GJ,2020-21,156285
Haryana,HR,2020-21,151979
Himachal Pradesh,HP,2020-21,132015
Jammu and Kashmir,JK,2020-21,65539
Jharkhand,JH,2020-21,51464
Karnataka,KA,2020-21,149578
Kerala,KL,2020-21,132531
Madhya Pradesh,MP,2020-21,56037
Maharashtra,MH,2020-21,127550
Manipur,MN,2020-21,44449
Meghalaya,ML,2020-21,60522
Mizoram,MZ,2020-21,116229
Nagaland,NL,2020-21,68272
Odisha,OR,2020-21,73325
Puducherry,PY,2020-21,136327
Punjab,PB,2020-21,113025
Rajasthan,RJ,2020-21,73447
Sikkim,SK,2020-21,237212
Tamil Nadu,TN,2020-21,143482
Telangana,TG,2020-21,140743
Tripura,TR,2020-21,79123
Uttar Pradesh,UP,2020-21,40959
Uttarakhand,UK,2020-21,127788
West Bengal,WB,2020-21,62852
Andaman and Nicobar Islands,AN,2021-22,160513
Andhra Pradesh,AP,2021-22,118349
Arunachal Pradesh,AR,2021-22,104980
Assam,AS,2021-22,63657
Bihar,BR,2021-22,27674
Chandigarh,CH,2021-22,222250
Chhattisgarh,CG,2021-22,78350
Delhi,DL,2021-22,239821
Goa,GA,2021-22,294563
Gujarat,GJ,2021-22,170519
